SKU,Name,Cost,Price,Margin,Visual_Height,Visual_Width,Velocity
117759,Sleep Aid Daily,5.62,12.92,0.57,5.24,3.71,2
134335,Ibuprofen Extra Strength,7.42,19.72,0.62,2.51,2.66,3
670322,Vitamin C Maximum,3.75,11.46,0.67,5.19,1.52,7
662871,Vitamin C Extra Strength,2.53,7.38,0.66,4.4,4.83,10
899794,Eye Drops Daily,4.11,9.25,0.56,6.81,4.18,8
649890,Sunscreen Gentle,5.51,15.59,0.65,5.13,3.23,5
741264,Vitamin C Maximum,9.48,20.0,0.53,4.65,2.79,10
104875,Multivitamin Gentle,9.83,20.0,0.51,2.47,1.61,10
802720,Acetaminophen Maximum,3.85,12.18,0.68,6.27,3.78,2
299969,Acetaminophen Extra Strength,5.75,17.91,0.68,2.16,4.64,2
656996,Ibuprofen Gentle,5.88,20.0,0.71,5.8,1.69,5
797820,Acetaminophen Extra Strength,3.43,11.3,0.7,5.31,3.24,3
868668,Vitamin C Gentle,8.58,20.0,0.57,2.08,2.9,9
435164,Eye Drops Maximum,4.61,17.74,0.74,2.5,1.55,10
391470,Eye Drops Maximum,4.54,17.59,0.74,6.66,1.77,9
623280,Probiotic Extra Strength,1.06,3.12,0.66,6.17,4.58,5
598320,Allergy Relief Extra Strength,9.95,20.0,0.5,6.82,3.61,10
276923,Eye Drops Daily,3.51,12.01,0.71,4.21,4.14,6
507967,Probiotic Extra Strength,5.63,14.67,0.62,5.0,3.07,9
662439,Eye Drops Daily,2.71,6.28,0.57,3.29,2.92,9
433789,Sleep Aid Maximum,1.2,4.76,0.75,6.44,4.6,3
288399,Probiotic Daily,6.67,20.0,0.67,2.51,3.27,9
126831,Cough Syrup Daily,3.39,13.02,0.74,3.05,3.7,9
760672,Thermometer Gentle,2.42,6.75,0.64,7.47,2.35,2
402781,Multivitamin Extra Strength,9.34,20.0,0.53,4.25,4.77,9
935385,Hand Sanitizer Extra Strength,4.21,15.1,0.72,5.83,1.89,6
261732,Sleep Aid Maximum,2.88,9.99,0.71,3.27,1.97,2
596647,Sleep Aid Extra Strength,3.9,11.74,0.67,6.79,3.77,8
533683,Thermometer Daily,1.96,4.74,0.59,6.81,3.18,8
270203,Eye Drops Maximum,6.1,19.2,0.68,6.18,1.86,7
159447,Lip Balm Extra Strength,6.77,20.0,0.66,5.02,2.93,10
193644,Band-Aids Maximum,6.77,19.95,0.66,4.8,1.84,2
396929,Sunscreen Daily,1.98,6.48,0.69,2.25,2.33,3
838724,Ibuprofen Maximum,1.09,4.26,0.74,3.29,4.85,3
624036,Acetaminophen Extra Strength,3.63,9.29,0.61,6.5,2.37,6
720042,Lip Balm Extra Strength,9.63,20.0,0.52,3.86,4.57,1
253285,Sunscreen Extra Strength,7.97,20.0,0.6,4.98,2.97,1
109749,Probiotic Gentle,5.8,18.61,0.69,6.61,2.17,6
216830,Multivitamin Maximum,5.8,13.05,0.56,2.38,3.08,7
497642,Lip Balm Daily,3.8,11.66,0.67,5.47,4.42,3
120579,Band-Aids Daily,7.03,20.0,0.65,5.58,3.05,4
466431,Eye Drops Gentle,7.43,20.0,0.63,3.72,2.71,1
952750,Thermometer Extra Strength,8.24,20.0,0.59,4.03,3.9,9
582766,Eye Drops Daily,9.33,20.0,0.53,4.84,1.66,8
775066,Multivitamin Daily,3.59,12.26,0.71,6.75,1.96,8
396388,Antacid Gentle,2.2,5.73,0.62,3.2,3.5,5
112140,Vitamin C Extra Strength,8.15,20.0,0.59,2.47,2.5,1
317514,Vitamin C Daily,5.2,19.61,0.73,4.72,4.07,6
498115,Multivitamin Gentle,3.08,10.27,0.7,3.26,3.73,3
848102,Vitamin C Maximum,5.76,16.21,0.64,5.76,3.37,10
